ID; Date; type; name; number; cost; totCost;;;;;;
890;20130919;Еда;Куриные бедрышки;0.94;29.96;28.28;;;;;;
891;20130919;Еда;бананы;1.0;13.0;13.0;;;;;;
892;20130919;Еда;Виноград;1.0;20.0;20.0;;;;;;
893;20130919;Еда;Помидоры;1.0;8.0;8.0;;;;;;
894;20130919;Еда;Огурцы;1.2;7.5;9.0;;;;;;
895;20130919;Еда;Груши;1.04;12.0;12.5;;;;;;
896;20130919;Еда;Груши;1.02;14.4;14.65;;;;;;
897;20130920;Еда;Укроп;1.0;3.0;3.0;;;;;;
898;20130920;Еда;Петрушка;1.0;3.0;3.0;;;;;;
899;20130920;Еда;Творог;0.92;44.91;41.32;;;;;;
900;20130920;Еда;Гречка;1.895;5.84;11.07;;;;;;
901;20130922;Еда;Груши;1.0;12.0;12.0;;;;;;
902;20130922;Еда;Виноград;1.0;14.0;14.0;;;;;;
903;20130922;Еда;Виноград;1.1;20.0;22.0;;;;;;
904;20130922;Еда;Груши;2.05;12.0;24.6;;;;;;
905;20130922;Еда;Творог;2.27;30.0;68.0;;;;;;
906;20130922;Еда;Базилик;2.0;4.0;8.0;;;;;;
907;20130922;Еда;Куриное филе;1.03;39.98;41.0;;;;;;
908;20130922;Еда;Индюшатина;1.0;50.5;50.5;;;;;;
909;20130922;Еда;бананы;0.8;13.0;10.4;;;;;;
910;20130922;Еда;Виноград;1.2;14.0;16.8;;;;;;
911;20130922;Прочее;Пополнение мобильного;1.0;304.5;304.5;;;;;;
912;20130924;Еда;Помидоры;1.9;10.0;19.0;;;;;;
913;20130924;Еда;Огурцы;1.93;15.0;29.0;;;;;;
914;20130924;Еда;Перец;0.8;12.0;9.6;;;;;;
915;20130924;Еда;Перец;0.31;15.0;4.6;;;;;;
916;20130924;Еда;Укроп;1.0;3.0;3.0;;;;;;
917;20130924;Еда;Салат;1.0;4.0;4.0;;;;;;
918;20130926;Еда;Сыр Бри;0.115;197.0;22.66;;;;;;
919;20130926;Еда;Хлеб заварной;1.0;4.87;4.87;;;;;;
920;20130926;Еда;Шоколад;1.0;12.74;12.74;;;;;;
921;20130926;Еда;Куриное филе;1.1;39.98;44.15;;;;;;
922;20130926;Еда;Индюшатина;0.94;50.54;47.5;;;;;;
923;20130927;Еда;Виноград;1.3;20.0;26.0;;;;;;
924;20130927;Еда;Творог;2.0;30.0;60.0;;;;;;
925;20130927;Еда;Салфетки;1.0;8.7;8.7;;;;;;
926;20130927;Снаряжение;Диски для гантелей;2.0;29.0;58.0;;;;;;
927;20130927;Прочее;Билет на поезд купе;1.0;148.16;148.16;;;;;;
928;20130927;Прочее;Билет на поезд купе;1.0;171.75;171.75;;;;;;
929;20131001;Еда;бананы;1.15;13.0;15.0;;;;;;
930;20131001;Еда;Укроп;3.0;2.0;6.0;;;;;;
931;20131001;Еда;Перец;0.82;15.0;12.35;;;;;;
932;20131001;Еда;бананы;1.38;13.0;18.0;;;;;;
933;20131001;Еда;Виноград;1.0;21.0;21.0;;;;;;
934;20131001;Еда;Груши;2.08;12.0;25.0;;;;;;
935;20131001;Еда;Свиная подчеревка;1.28;52.5;67.2;;;;;;
936;20131002;Хоз.Товары;Картридж для фильтра воды;1.0;40.0;40.0;;;;;;
937;20131003;Хоз.Товары;Кислота лимонная;3.0;1.2;3.6;;;;;;
938;20131003;Хоз.Товары;Четверть задняя куриная;1.11;22.96;25.45;;;;;;
939;20131003;Хоз.Товары;Творог;0.92;41.87;38.52;;;;;;
940;20131003;Хоз.Товары;Хлеб бородянский;1.0;4.83;4.83;;;;;;
941;20131003;Хоз.Товары;Сыр Камамбер;0.115;201.65;23.19;;;;;;
942;20131003;Хоз.Товары;Масло сливочное;0.2;68.6;13.72;;;;;;
943;20131006;Еда;бананы;1.2;13.0;15.6;;;;;;
944;20131006;Еда;Зелень;4.0;2.5;10.0;;;;;;
945;20131006;Хоз.Товары;Порошок стиральный;1.0;12.5;12.5;;;;;;
946;20131006;Хоз.Товары;Зубная паста Новый жемчуг;1.0;8.19;8.19;;;;;;
947;20131006;Хоз.Товары;Шампунь Head&Shoulders;1.0;36.7;36.7;;;;;;
948;20131008;Еда;Куриные бедрышки;1.192;30.96;36.9

949;20131008;Еда;Творог;1.0;28.0;28.0

950;20131008;Еда;Виноград;1.07;20.0;18.7
949;20131008;Еда;Салат;1.0;5.0;5.0
950;20131008;Еда;Базилик;1.0;3.0;3.0
951;20131008;Еда;Укроп;2.0;3.0;6.0
952;20131008;Еда;Четверть задняя куриная;1.11;22.9;25.35
953;20131008;Еда;Куриное филе;1.2;39.98;48.15
954;20131008;Еда;бананы;1.67;13.0;21.75
955;20131008;Еда;Груши;1.25;12.0;15.0
956;20131008;Хоз.Товары;Мыло туалетное;1.0;11.0;11.0
957;20131008;Кварт. услуги;Интернет;1.0;100.0;100.0
958;20131008;Кварт. услуги;Портмоне;1.0;9.9;9.9
959;20131008;Кварт. услуги;Квартира;1.0;375.44;375.44
960;20131008;Кварт. услуги;Электричество;100.0;0.2802;28.02
949;20131014;Прочее;Поездка в Карпаты;1.0;400.0;400.0
950;20131014;Прочее;Комиссия за снятие наличных. Приватбанк;1.0;10.0;10.0
951;20131014;Еда;Гречка;2.445;5.87;14.35
952;20131014;Еда;Сахар;2.445;6.29;15.38
953;20131014;Еда;Творог;0.92;46.87;43.12
954;20131014;Еда;Перец;0.73;12.0;8.8
955;20131014;Еда;Виноград;1.25;15.0;18.8
956;20131014;Еда;Куриное филе;1.192;39.98;47.66
949;20131015;Еда;Куриные бедрышки;1.13;26.6;30.0
950;20131015;Еда;Сельдерей;0.48;25.0;12.0
951;20131015;Еда;бананы;1.11;13.0;14.4
949;20131017;Еда;Мед;5.0;30.0;150.0
950;20131017;Еда;Шоколад;1.0;24.94;24.94
951;20131017;Еда;Пакет подарочный;1.0;6.19;6.19
952;20131017;Еда;Хлеб заварной;1.0;4.74;4.74
953;20131017;Еда;Сыр Бергадер;1.0;22.39;22.39
954;20131017;Еда;Перец душистый;1.0;3.49;3.49
955;20131017;Еда;Перец черный горошек;1.0;3.49;3.49
956;20131017;Еда;Свиная подчеревка;1.05;53.0;55.9
957;20131017;Еда;Тыква;1.73;4.0;6.9
949;20131017;Еда;бананы;1.64;10.99;17.97
950;20131017;Еда;Творог;0.69;44.17;30.48
949;20131018;Еда;Перец;1.0;5.0;5.0
949;20131019;Еда;Огурцы;1.19;19.0;22.6
950;20131019;Еда;Помидоры;1.0;14.0;14.0
951;20131019;Еда;Творог;2.0;30.0;60.0
952;20131019;Еда;Сыр Бри;0.2;110.0;22.0
953;20131019;Снаряжение;Подушка надувная;1.0;12.0;12.0
954;20131019;Снаряжение;Очки велосипедные со сменными стеклами;1.0;350.0;350.0
955;20131019;Снаряжение;Очки солнцезащитные;1.0;280.0;280.0
956;20131019;Снаряжение;Микрофибровая протирка;1.0;15.0;15.0
957;20131019;Снаряжение;Чехол для очков;1.0;55.0;55.0
958;20131019;Одежда;Штаны Outventure;1.0;249.0;249.0
959;20131019;Одежда;Джинсы вельветовые;1.0;199.0;199.0
960;20131019;Еда;Помидоры;1.0;15.0;15.0
961;20131019;Еда;Зелень;2.0;3.0;6.0
962;20131019;Еда;Виноград;1.08;24.0;26.0
963;20131019;Еда;Груши;1.56;16.0;25.0
964;20131019;Хоз.Товары;Лопатка для обуви;1.0;28.0;28.0
